,Unnamed: 0,raw_text,aspectTerms
10,10,I love the way the entire suite of software works together.,"[{'term': 'suite of software', 'polarity': 'positive'}]"
11,11,The speed is incredible and I am more than satisfied.,"[{'term': 'speed', 'polarity': 'positive'}]"
12,12,This laptop meets every expectation and Windows 7 is great!,"[{'term': 'Windows 7', 'polarity': 'positive'}]"
13,13,I can barely use any usb devices because they will not stay connected properly.,"[{'term': 'usb devices', 'polarity': 'negative'}]"
14,14,"-No backlit keyboard, but not an issue for me.","[{'term': 'keyboard', 'polarity': 'conflict'}]"
15,15,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,"[{'term': 'software', 'polarity': 'neutral'}, {'term': 'system', 'polarity': 'negative'}]"
16,16,"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.","[{'term': 'Microsoft office for the mac', 'polarity': 'negative'}]"
17,17,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,"[{'term': 'syncing', 'polarity': 'positive'}]"
18,18,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","[{'term': '30"" HD Monitor', 'polarity': 'positive'}, {'term': 'screen', 'polarity': 'neutral'}]"
19,19,The machine is slow to boot up and occasionally crashes completely.,"[{'term': 'boot up', 'polarity': 'negative'}]"
20,20,"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.","[{'term': 'service', 'polarity': 'negative'}]"
21,21,"I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.","[{'term': 'battery', 'polarity': 'conflict'}]"
22,22,I love the operating system and the preloaded software.,"[{'term': 'operating system', 'polarity': 'positive'}, {'term': 'preloaded software', 'polarity': 'positive'}]"
23,23,The best thing about this laptop is the price along with some of the newer features.,"[{'term': 'price', 'polarity': 'positive'}, {'term': 'features', 'polarity': 'positive'}]"
24,24,"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).","[{'term': 'clock in BIOS setup', 'polarity': 'negative'}]"
25,25,YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,"[{'term': 'WARRANTY SERVICE', 'polarity': 'negative'}]"
26,26,but now i have realized its a problem with this brand.,"[{'term': 'brand', 'polarity': 'negative'}]"
27,27,I sent it back to Toshiba twice they covered it under the  warranty.,"[{'term': 'warranty', 'polarity': 'positive'}]"
28,28,I was looking for a mac which is portable and has all the features that I was looking for.,"[{'term': 'features', 'polarity': 'positive'}]"
29,29,Also kinda loud when the fan was running.,"[{'term': 'fan', 'polarity': 'negative'}]"
30,30,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").","[{'term': 'Customer Service number', 'polarity': 'neutral'}, {'term': 'warranty', 'polarity': 'negative'}, {'term': 'talking to a technician', 'polarity': 'negative'}]"
31,31,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,"[{'term': 'hard disc', 'polarity': 'negative'}, {'term': 'windows', 'polarity': 'negative'}, {'term': 'drivers', 'polarity': 'neutral'}]"
32,32,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,"[{'term': 'Drivers', 'polarity': 'positive'}, {'term': 'BIOS update', 'polarity': 'negative'}, {'term': 'system', 'polarity': 'negative'}]"
33,33,Spent 2 hours on phone with HP Technical Support.,"[{'term': 'HP Technical Support', 'polarity': 'neutral'}]"
34,34,"Speaking of the browser, it too has problems.","[{'term': 'browser', 'polarity': 'negative'}]"
35,35,The keyboard is too slick.,"[{'term': 'keyboard', 'polarity': 'negative'}]"
36,36,Nightly my computer defrags itself and runs a virus scan.,"[{'term': 'virus scan', 'polarity': 'neutral'}]"
37,37,"It's like 9 punds, but if you can look past it, it's GREAT!","[{'term': '9 punds', 'polarity': 'negative'}]"
38,38,It's just as fast with one program open as it is with sixteen open.,"[{'term': 'program', 'polarity': 'neutral'}]"
39,39,"Still under warrenty so called Toshiba, no help at all.","[{'term': 'warrenty', 'polarity': 'negative'}]"
40,40,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,"[{'term': 'Toshiba Warranty', 'polarity': 'negative'}]"
41,41,Amazing Quality!,"[{'term': 'Quality', 'polarity': 'positive'}]"
42,42,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,"[{'term': 'webcam', 'polarity': 'neutral'}, {'term': 'value', 'polarity': 'positive'}]"
43,43,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).","[{'term': 'internet', 'polarity': 'neutral'}, {'term': 'managing personal files', 'polarity': 'neutral'}]"
44,44,"A month or so ago, the freaking motherboard just died.","[{'term': 'motherboard', 'polarity': 'negative'}]"
45,45,"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.","[{'term': 'system', 'polarity': 'negative'}]"
46,46,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,"[{'term': 'charger', 'polarity': 'negative'}, {'term': 'hardware', 'polarity': 'negative'}, {'term': 'charger', 'polarity': 'negative'}, {'term': 'hardware', 'polarity': 'negative'}]"
47,47,"If a website ever freezes (which is rare), its really easy to force quit.","[{'term': 'force quit', 'polarity': 'positive'}]"
48,48,It rarely works and when it does it's incredibly slow.,"[{'term': 'works', 'polarity': 'negative'}]"
49,49,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,"[{'term': 'Windows 7', 'polarity': 'positive'}, {'term': 'VMWare program', 'polarity': 'neutral'}]"
50,50,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!","[{'term': 'operating system', 'polarity': 'positive'}, {'term': 'runs', 'polarity': 'positive'}, {'term': 'navigate', 'polarity': 'positive'}, {'term': 'find files', 'polarity': 'positive'}]"
51,51,Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,"[{'term': 'warrenty', 'polarity': 'negative'}]"
52,52,"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.","[{'term': 'extended warranty', 'polarity': 'neutral'}]"
53,53,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,"[{'term': 'memory', 'polarity': 'neutral'}, {'term': 'speed', 'polarity': 'positive'}, {'term': 'performace', 'polarity': 'positive'}]"
54,54,"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.","[{'term': 'opening my Documents folder', 'polarity': 'negative'}]"
55,55,I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,"[{'term': 'operating systems', 'polarity': 'negative'}]"
56,56,"Then, within 5 months, the charger crapped out on me.","[{'term': 'charger', 'polarity': 'negative'}]"
57,57,And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,"[{'term': 'speed', 'polarity': 'positive'}]"
58,58,I love the glass touchpad.,"[{'term': 'glass touchpad', 'polarity': 'positive'}]"
59,59,  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,"[{'term': 'hard drive', 'polarity': 'negative'}, {'term': 'mother board', 'polarity': 'negative'}]"
60,60,I am using the external speaker- sound is good.,"[{'term': 'external speaker', 'polarity': 'positive'}, {'term': 'sound', 'polarity': 'positive'}]"
61,61,"still testing the battery life as i thought it would be better, but am very happy with the upgrade.","[{'term': 'battery life', 'polarity': 'negative'}]"
62,62,"Then HP sends it back to me with the hardware screwed up, not able to connect.","[{'term': 'hardware', 'polarity': 'negative'}]"
63,63,"Oh yeah, don't forget the expensive shipping to and from HP.","[{'term': 'shipping', 'polarity': 'negative'}]"
64,64,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.","[{'term': 'Mac software', 'polarity': 'positive'}, {'term': 'Microsoft software', 'polarity': 'negative'}, {'term': 'use', 'polarity': 'positive'}]"
65,65,"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.","[{'term': 'delete  key', 'polarity': 'negative'}, {'term': 'editing', 'polarity': 'negative'}]"
66,66,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,"[{'term': 'use', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'phone assistance', 'polarity': 'positive'}, {'term': 'genius bar', 'polarity': 'positive'}]"
67,67,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.","[{'term': 'battery life', 'polarity': 'positive'}, {'term': 'battery life', 'polarity': 'positive'}, {'term': 'gaming', 'polarity': 'neutral'}, {'term': 'movie playing', 'polarity': 'neutral'}, {'term': 'web browsing', 'polarity': 'neutral'}, {'term': 'word editing', 'polarity': 'neutral'}]"
68,68,"Acer has set me up with FREE recovery discs, when they are available since I asked.","[{'term': 'recovery discs', 'polarity': 'positive'}]"
69,69,"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.","[{'term': 'Office Max\'s ""Max Assurance""', 'polarity': 'neutral'}]"
70,70,I eventually did the migration from my iMac backup disc which uses USB.,"[{'term': 'iMac backup disc', 'polarity': 'neutral'}, {'term': 'USB', 'polarity': 'neutral'}]"
71,71,"The battery life seems to be very good, and have had no issues with it.","[{'term': 'battery life', 'polarity': 'positive'}]"
72,72,Enabling the battery timer is useless.,"[{'term': 'battery timer', 'polarity': 'negative'}]"
73,73,Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,"[{'term': 'Temperatures', 'polarity': 'neutral'}, {'term': 'Core Processing Unit temperatures', 'polarity': 'neutral'}]"
74,74,Going to bring it to service today.,"[{'term': 'service', 'polarity': 'neutral'}]"
75,75,"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.","[{'term': 'virus protection for Mac', 'polarity': 'positive'}]"
76,76,"But we had paid for bluetooth, and there was none.","[{'term': 'bluetooth', 'polarity': 'negative'}]"
77,77,"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.","[{'term': 'LG notebook service center', 'polarity': 'neutral'}, {'term': 'hinge', 'polarity': 'negative'}]"
78,78,"My daughter uses it for games, email, facebook, pictures and music.","[{'term': 'games', 'polarity': 'neutral'}]"
79,79,"It is always reliable, never bugged and responds well.","[{'term': 'responds', 'polarity': 'positive'}]"
80,80,After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,"[{'term': 'motherboard', 'polarity': 'negative'}, {'term': 'motherboard', 'polarity': 'neutral'}]"
81,81,"It was slow, locked up, and also had hardware replaced after only 2 months!","[{'term': 'hardware', 'polarity': 'negative'}]"
82,82,they had to replace the motherboard in April,"[{'term': 'motherboard', 'polarity': 'negative'}]"
83,83,"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.","[{'term': 'use', 'polarity': 'positive'}]"
84,84,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.","[{'term': 'representive at Microsoft', 'polarity': 'negative'}, {'term': 'system', 'polarity': 'negative'}, {'term': 'XP', 'polarity': 'positive'}]"
85,85,I love WIndows 7 which is a vast improvment over Vista.,"[{'term': 'WIndows 7', 'polarity': 'positive'}, {'term': 'Vista', 'polarity': 'negative'}]"
86,86,"Keyboard is great, very quiet for all the typing that I do.","[{'term': 'Keyboard', 'polarity': 'positive'}]"
87,87,Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.,"[{'term': ""Dell's customer disservice"", 'polarity': 'negative'}]"
88,88,"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.","[{'term': 'cooling system', 'polarity': 'negative'}, {'term': 'use', 'polarity': 'neutral'}]"
89,89,"I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7.","[{'term': 'quad core I7', 'polarity': 'positive'}]"
90,90,"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.","[{'term': 'sales associate', 'polarity': 'positive'}]"
91,91,"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;","[{'term': 'system', 'polarity': 'positive'}, {'term': 'Windows applications', 'polarity': 'neutral'}]"
92,92,You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,"[{'term': 'virus program', 'polarity': 'negative'}]"
93,93,It weighed like seven pounds or something like that.,"[{'term': 'weighed', 'polarity': 'neutral'}, {'term': 'seven pounds', 'polarity': 'neutral'}]"
94,94,"2 months later, the battery went.","[{'term': 'battery', 'polarity': 'negative'}]"
95,95,You may need to special order a bag.,"[{'term': 'bag', 'polarity': 'neutral'}]"
96,96,It's color is even cool.,"[{'term': 'color', 'polarity': 'positive'}]"
97,97,keys are all in weird places and is way too large for the way it is designed.,"[{'term': 'keys', 'polarity': 'negative'}, {'term': 'designed', 'polarity': 'negative'}]"
98,98,"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.","[{'term': 'style', 'polarity': 'positive'}, {'term': 'speed', 'polarity': 'positive'}]"
99,99,The keyboard feels good and I type just fine on it.,"[{'term': 'keyboard', 'polarity': 'positive'}]"
100,100,I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,"[{'term': 'mousepad', 'polarity': 'neutral'}]"
101,101,"And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.","[{'term': 'battery', 'polarity': 'negative'}]"
102,102,"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple","[{'term': 'sales', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'DELL SUPPORT', 'polarity': 'positive'}]"
103,103,"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.","[{'term': 'hard drive', 'polarity': 'neutral'}, {'term': 'motherboard', 'polarity': 'neutral'}]"
104,104,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.","[{'term': 'speed', 'polarity': 'positive'}, {'term': 'construction quality', 'polarity': 'positive'}, {'term': 'longevity', 'polarity': 'positive'}, {'term': 'cost', 'polarity': 'conflict'}]"
105,105,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.","[{'term': 'keyboard', 'polarity': 'positive'}, {'term': 'keys', 'polarity': 'positive'}, {'term': 'configuration of ""extra key""', 'polarity': 'positive'}]"
106,106,) I also tried the touch pad and compared it to other netbooks in the store.,"[{'term': 'touch pad', 'polarity': 'neutral'}]"
107,107,"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.","[{'term': 'use', 'polarity': 'positive'}, {'term': 'security', 'polarity': 'positive'}, {'term': 'pricetag', 'polarity': 'conflict'}]"
108,108,"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.","[{'term': 'use', 'polarity': 'negative'}, {'term': 'work', 'polarity': 'negative'}]"
109,109,lots of preloaded software.,"[{'term': 'preloaded software', 'polarity': 'positive'}]"
110,110,"I wish it had a webcam though, then it would be perfect!","[{'term': 'webcam', 'polarity': 'negative'}]"
111,111,My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,"[{'term': 'vga port', 'polarity': 'positive'}, {'term': 'screen', 'polarity': 'neutral'}]"
112,112,Another thing I might add is the battery life is excellent.,"[{'term': 'battery life', 'polarity': 'positive'}]"
113,113,"One drawback, I wish the keys were backlit.","[{'term': 'keys', 'polarity': 'negative'}]"
114,114,"Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem.","[{'term': 'software', 'polarity': 'positive'}]"
115,115,I wish the volume could be louder and the mouse didnt break after only a month.,"[{'term': 'volume', 'polarity': 'negative'}, {'term': 'mouse', 'polarity': 'negative'}]"
116,116,"I play a lot of casual games online, and the touchpad is very responsive.","[{'term': 'touchpad', 'polarity': 'positive'}]"
117,117,"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.","[{'term': 'boots up', 'polarity': 'positive'}]"
118,118,It caught a virus that completely wiped out my hard drive in a matter of hours.,"[{'term': 'hard drive', 'polarity': 'negative'}]"
119,119,"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.","[{'term': 'look and feel standpoint', 'polarity': 'positive'}]"
120,120,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,"[{'term': 'safari', 'polarity': 'negative'}, {'term': 'safari', 'polarity': 'negative'}, {'term': 'Mozzilla firfox', 'polarity': 'positive'}]"
121,121,"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.","[{'term': 'Bluetooth', 'polarity': 'negative'}, {'term': 'fingerprint reader driver', 'polarity': 'negative'}, {'term': 'software', 'polarity': 'negative'}]"
122,122,"Great battery, speed, display.","[{'term': 'battery', 'polarity': 'positive'}, {'term': 'speed', 'polarity': 'positive'}, {'term': 'display', 'polarity': 'positive'}]"
123,123,"The delivery was fast, and I would not hesitate to purchase this laptop again.","[{'term': 'delivery', 'polarity': 'positive'}]"
124,124,I've been impressed with the battery life and the performance for such a small amount of memory.,"[{'term': 'battery life', 'polarity': 'positive'}, {'term': 'performance', 'polarity': 'positive'}, {'term': 'memory', 'polarity': 'negative'}]"
125,125,"It's applications are terrific, including the replacements for Microsoft office.","[{'term': 'applications', 'polarity': 'positive'}, {'term': 'Microsoft office', 'polarity': 'positive'}]"
126,126,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.","[{'term': 'Resolution', 'polarity': 'negative'}, {'term': 'appearance', 'polarity': 'negative'}, {'term': 'cooling system', 'polarity': 'negative'}, {'term': 'graphics card', 'polarity': 'negative'}]"
127,127,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.","[{'term': 'built-in webcam', 'polarity': 'negative'}, {'term': 'built-in mic', 'polarity': 'negative'}, {'term': 'cam', 'polarity': 'negative'}, {'term': 'mic', 'polarity': 'negative'}]"
128,128,Is this partially due to the fact that it is running Windows Vista?,"[{'term': 'Windows Vista', 'polarity': 'neutral'}]"
129,129,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,"[{'term': 'board', 'polarity': 'negative'}, {'term': 'connector', 'polarity': 'negative'}, {'term': 'power supply', 'polarity': 'negative'}, {'term': 'warrenty', 'polarity': 'negative'}, {'term': 'power supply', 'polarity': 'negative'}]"
130,130,"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!","[{'term': 'ethernet', 'polarity': 'positive'}, {'term': 'works', 'polarity': 'positive'}]"
131,131,Mostly I love the drag and drop feature.,"[{'term': 'drag and drop feature', 'polarity': 'positive'}]"
132,132,"oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?","[{'term': 'webcam', 'polarity': 'negative'}]"
133,133,"I ordered through MacMall, which saved me the sales tax I would have incurred buying locally.","[{'term': 'sales tax', 'polarity': 'positive'}]"
134,134,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.","[{'term': 'software packages', 'polarity': 'positive'}, {'term': 'iWork', 'polarity': 'positive'}, {'term': 'GarageBand', 'polarity': 'positive'}, {'term': 'iMovie', 'polarity': 'positive'}]"
135,135,The screen is very large and crystal clear with amazing colors and resolution.,"[{'term': 'screen', 'polarity': 'positive'}, {'term': 'colors', 'polarity': 'positive'}, {'term': 'resolution', 'polarity': 'positive'}]"
136,136,"After a little more than a year of owning my MacBook Pro, the monitor has completely died.","[{'term': 'monitor', 'polarity': 'negative'}]"
137,137,"The brand of iTunes has just become ingrained in our lexicon now, but keep in mind that Apple started it all.","[{'term': 'iTunes', 'polarity': 'positive'}]"
138,138,"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.","[{'term': 'Size', 'polarity': 'negative'}, {'term': 'external monitor', 'polarity': 'neutral'}]"
139,139,Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,"[{'term': 'base installation', 'polarity': 'negative'}, {'term': 'software', 'polarity': 'negative'}]"
140,140,  Taking it back to Best Buy I found that a tiny plastic piece inside had broken (manuf issue).,"[{'term': 'manuf', 'polarity': 'negative'}]"
141,141,"It has no camera but, I can always buy and install one easy.","[{'term': 'camera', 'polarity': 'conflict'}]"
142,142,"The display is incredibly bright, much brighter than my PowerBook and very crisp.","[{'term': 'display', 'polarity': 'positive'}]"
143,143,The AMD Turin processor seems to always perform so much better than Intel.,"[{'term': 'AMD Turin processor', 'polarity': 'positive'}, {'term': 'Intel', 'polarity': 'negative'}]"
144,144,  After that the said it was under warranty.,"[{'term': 'warranty', 'polarity': 'neutral'}]"
145,145,The start menu is not the easiest thing to navigate due to the stacking.,"[{'term': 'start menu', 'polarity': 'negative'}, {'term': 'navigate', 'polarity': 'negative'}]"
146,146,Only thing I would want to add to this is an internal bluray read/write drive.,"[{'term': 'bluray read/write drive', 'polarity': 'negative'}]"
147,147,The service tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.,"[{'term': 'service tech', 'polarity': 'negative'}]"
148,148,"The tech store I purchased this from sent it back,,,,,eventually I got a new or repaired machine approximately 3 weeks later.","[{'term': 'tech store', 'polarity': 'negative'}]"
149,149,Really like the textured surface which shows no fingerprints.,"[{'term': 'surface', 'polarity': 'positive'}]"
150,150,The screen is bright and the keyboard is nice;,"[{'term': 'screen', 'polarity': 'positive'}, {'term': 'keyboard', 'polarity': 'positive'}]"
151,151,But the machine is awesome and iLife is great and I love Snow Leopard X.,"[{'term': 'iLife', 'polarity': 'positive'}, {'term': 'Snow Leopard X', 'polarity': 'positive'}]"
152,152,"High price tag, however.","[{'term': 'price tag', 'polarity': 'negative'}]"
153,153,"I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.","[{'term': 'Mac OS', 'polarity': 'positive'}]"
154,154,"I had static in the output, and I had to reduce the sound output quality to ""FM"" as opposed to the default ""CD.","[{'term': 'sound output quality', 'polarity': 'negative'}]"
155,155,I custom ordered the machine from HP and could NOT understand the techie due to his accent.,"[{'term': 'techie', 'polarity': 'negative'}]"
156,156,It is easy to use and lightweight.,"[{'term': 'use', 'polarity': 'positive'}]"
157,157,I went to Toshiba online help and found some suggestions to fix it.,"[{'term': 'Toshiba online help', 'polarity': 'positive'}]"
158,158,They also have a longer service life than other computers (I have several friends who still use the older Apple PowerBooks).,"[{'term': 'service life', 'polarity': 'positive'}]"
159,159,If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,"[{'term': 'ports', 'polarity': 'neutral'}, {'term': 'processor', 'polarity': 'neutral'}]"
160,160,This laptop is a great price and has a sleek look.,"[{'term': 'price', 'polarity': 'positive'}, {'term': 'look', 'polarity': 'positive'}]"
161,161,I especially like the keyboard which has chiclet type keys.,"[{'term': 'keyboard', 'polarity': 'positive'}, {'term': 'keys', 'polarity': 'positive'}]"
162,162,Small screen somewhat limiting but great for travel.,"[{'term': 'screen', 'polarity': 'conflict'}]"
163,163,Runs Hot  I thought we were paying for quality in our decision to buy an Apple product.,"[{'term': 'quality', 'polarity': 'negative'}]"
164,164,"For the not so good, I got the stock screen - which is VERY glossy.","[{'term': 'stock screen', 'polarity': 'negative'}]"
165,165,The gray color was a good choice.,"[{'term': 'gray color', 'polarity': 'positive'}]"
166,166,I would like to have volume buttons rather than the adjustment that is on the front.,"[{'term': 'volume buttons', 'polarity': 'negative'}]"
167,167,The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,"[{'term': 'processor', 'polarity': 'negative'}, {'term': 'computing', 'polarity': 'negative'}]"
168,168,I bought a protector for my key pad and it works great :),"[{'term': 'protector', 'polarity': 'neutral'}, {'term': 'key pad', 'polarity': 'positive'}]"
169,169,The magnetic plug-in power charging power cord is great (I even put it to the test by accident)- excellent innovation!,"[{'term': 'magnetic plug-in power charging power cord', 'polarity': 'positive'}]"
170,170,It seems they could have updated XP and done without creating Vista.,"[{'term': 'XP', 'polarity': 'positive'}, {'term': 'Vista', 'polarity': 'negative'}]"
171,171,"  It is easy to use, fast and has great graphics for the money.","[{'term': 'graphics', 'polarity': 'positive'}, {'term': 'use', 'polarity': 'positive'}]"
172,172,I like how the Mac OS is so simple and easy to use.,"[{'term': 'Mac OS', 'polarity': 'positive'}, {'term': 'use', 'polarity': 'positive'}]"
173,173,"While Apple's saving grace is the fact that they at least stand behind their products, and their support is great, it would be nice if their products were more reliable to justify the premium.","[{'term': 'support', 'polarity': 'positive'}]"
174,174,"I was ready to take it back for a refund, but the Geek Squad camed through and pointed me in the right direction to get it fixed.","[{'term': 'Geek Squad', 'polarity': 'positive'}]"
175,175,only good thing is the graphics quality.,"[{'term': 'graphics quality', 'polarity': 'positive'}]"
176,176,"The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless.","[{'term': 'Appleworks', 'polarity': 'negative'}, {'term': 'browser', 'polarity': 'negative'}]"
177,177,The paint wears off easily due to the keyboard being farther back than usual.,"[{'term': 'paint', 'polarity': 'negative'}, {'term': 'keyboard', 'polarity': 'negative'}]"
178,178,I had purchased it from a major electronics store and took it to their service department to find out what the problem was.,"[{'term': 'service department', 'polarity': 'neutral'}]"
179,179,The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.,"[{'term': 'warrenty', 'polarity': 'positive'}, {'term': 'warrentys', 'polarity': 'negative'}]"
