,Unnamed: 0,raw_text,aspectTerms
94,94,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,"[{'term': 'Service', 'polarity': 'positive'}, {'term': 'maitre', 'polarity': 'positive'}, {'term': 'reservation', 'polarity': 'negative'}]"
95,95,"Order the panang duck, it's fantastic.","[{'term': 'panang duck', 'polarity': 'positive'}]"
96,96,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.","[{'term': 'Food', 'polarity': 'conflict'}, {'term': 'raw vegatables', 'polarity': 'negative'}]"
97,97,"Other than the crappy service from two individuals, it's great.","[{'term': 'service', 'polarity': 'negative'}]"
98,98,They have authentic Indian at amazin prices.,"[{'term': 'Indian', 'polarity': 'positive'}, {'term': 'prices', 'polarity': 'positive'}]"
99,99,Ambiance- relaxed and stylish.,"[{'term': 'Ambiance', 'polarity': 'positive'}]"
100,100,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.","[{'term': 'BBQ Salmon', 'polarity': 'positive'}, {'term': 'Sea Bass', 'polarity': 'positive'}, {'term': 'Crispy Duck', 'polarity': 'positive'}]"
101,101,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","[{'term': 'ingredients', 'polarity': 'positive'}, {'term': 'ingredients', 'polarity': 'positive'}, {'term': 'pizza', 'polarity': 'negative'}, {'term': 'crust', 'polarity': 'neutral'}]"
102,102,and yes Dal Bukhara is so dam good and so are all the kababs.,"[{'term': 'kababs', 'polarity': 'positive'}, {'term': 'Dal Bukhara', 'polarity': 'positive'}]"
103,103,I look forward to eating here again,"[{'term': 'eating', 'polarity': 'positive'}]"
104,104,I've been coming here as a child and always come back for the taste.,"[{'term': 'taste', 'polarity': 'positive'}]"
105,105,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,"[{'term': 'meal', 'polarity': 'positive'}, {'term': 'price', 'polarity': 'positive'}]"
106,106,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.","[{'term': 'glass of prosecco', 'polarity': 'positive'}, {'term': 'mussels', 'polarity': 'positive'}, {'term': 'glass of Leaping Lizard', 'polarity': 'positive'}]"
107,107,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.","[{'term': 'Food', 'polarity': 'neutral'}, {'term': 'creme brulee', 'polarity': 'negative'}, {'term': 'sugar', 'polarity': 'negative'}]"
108,108,The food always tastes fresh and served promptly.,"[{'term': 'food', 'polarity': 'positive'}, {'term': 'served', 'polarity': 'positive'}]"
109,109,The pizza here is delicious.,"[{'term': 'pizza', 'polarity': 'positive'}]"
110,110,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!","[{'term': 'Pizza', 'polarity': 'positive'}, {'term': 'delivery', 'polarity': 'positive'}, {'term': 'garlic knots', 'polarity': 'positive'}]"
111,111,"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.","[{'term': 'chinese food', 'polarity': 'positive'}]"
112,112,But who says Murray's is anything about service.,"[{'term': 'service', 'polarity': 'neutral'}]"
113,113,"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.","[{'term': 'food', 'polarity': 'negative'}]"
114,114,Hats off to the chef.,"[{'term': 'chef', 'polarity': 'positive'}]"
115,115,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.","[{'term': 'Service', 'polarity': 'negative'}, {'term': 'teapot', 'polarity': 'positive'}]"
116,116,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.","[{'term': 'pizza', 'polarity': 'positive'}, {'term': 'fresh mozzarella', 'polarity': 'positive'}, {'term': 'cheese', 'polarity': 'negative'}]"
117,117,Its an excellent place to relax and the food is one of the best in the city of New York.,"[{'term': 'place', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]"
118,118,"service is friendly, and never had a problem walking in and getting a table.","[{'term': 'service', 'polarity': 'positive'}, {'term': 'getting a table', 'polarity': 'positive'}]"
119,119,The atmosphere was crowded but it was a great bistro-type vibe.,"[{'term': 'atmosphere', 'polarity': 'conflict'}, {'term': 'bistro-type vibe', 'polarity': 'positive'}]"
120,120,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.","[{'term': 'waitress', 'polarity': 'negative'}, {'term': 'tables', 'polarity': 'neutral'}]"
121,121,The food was bland oily.,"[{'term': 'food', 'polarity': 'negative'}]"
122,122,"What is even better, is that the prices are very affordable as well, and the food is really good.","[{'term': 'prices', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]"
123,123,The fish is fresh but the variety of fish is nothing out of ordinary.,"[{'term': 'fish', 'polarity': 'positive'}, {'term': 'variety of fish', 'polarity': 'negative'}]"
124,124,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.","[{'term': 'pesto pizza', 'polarity': 'positive'}, {'term': 'house salad', 'polarity': 'positive'}, {'term': 'bottle of wine', 'polarity': 'positive'}, {'term': 'meal', 'polarity': 'positive'}]"
125,125,"And Kruno, the beverage manager is the best bartender I have yet to come across.","[{'term': 'bartender', 'polarity': 'positive'}, {'term': 'beverage manager', 'polarity': 'positive'}]"
126,126,"Ambiance and music funky, which I enjoy.","[{'term': 'Ambiance', 'polarity': 'positive'}, {'term': 'music', 'polarity': 'positive'}]"
127,127,"The food, drinks and service are clearly among the best in the city.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'drinks', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
128,128,I went there in late afternoon for some bite size food and refleshment with my date.,"[{'term': 'food', 'polarity': 'neutral'}, {'term': 'refleshment', 'polarity': 'neutral'}]"
129,129,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.","[{'term': 'ambiance', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'foods', 'polarity': 'positive'}, {'term': 'tastes', 'polarity': 'positive'}, {'term': 'sommlier', 'polarity': 'positive'}, {'term': 'captain', 'polarity': 'positive'}, {'term': 'back waiters', 'polarity': 'positive'}]"
130,130,"Last time I went here, the waitress didn't come back after taking our order.","[{'term': 'waitress', 'polarity': 'negative'}]"
131,131,Try the tandoori salmon!,"[{'term': 'tandoori salmon', 'polarity': 'positive'}]"
132,132,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.","[{'term': 'atmosphere', 'polarity': 'positive'}]"
133,133,"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.","[{'term': 'space', 'polarity': 'negative'}, {'term': 'service', 'polarity': 'positive'}]"
134,134,I love the atmorphere @ peep!,"[{'term': 'atmorphere', 'polarity': 'positive'}]"
135,135,The service was attentive and her suggestions of menu items was right on the mark.,"[{'term': 'service', 'polarity': 'positive'}, {'term': 'menu items', 'polarity': 'positive'}]"
136,136,The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,"[{'term': 'three course meal', 'polarity': 'positive'}]"
137,137,"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!","[{'term': 'Pizza', 'polarity': 'positive'}]"
138,138,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.","[{'term': 'environment', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'negative'}, {'term': 'service', 'polarity': 'negative'}]"
139,139,"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.","[{'term': 'crawfish boiled', 'polarity': 'positive'}]"
140,140,I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,"[{'term': 'reservation', 'polarity': 'neutral'}]"
141,141,What came to our table was burned beyond recognition and stringy.,"[{'term': 'table', 'polarity': 'neutral'}]"
142,142,I had the Pad Thai and the noodles were sticky.,"[{'term': 'Pad Thai', 'polarity': 'negative'}, {'term': 'noodles', 'polarity': 'negative'}]"
143,143,"So I've never actually been to M proper, but I've had it delivered a few times.","[{'term': 'delivered', 'polarity': 'neutral'}]"
144,144,"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.","[{'term': 'values for your money', 'polarity': 'positive'}]"
145,145,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.","[{'term': 'lunch', 'polarity': 'positive'}]"
146,146,The hostess is rude to the point of being offensive.,"[{'term': 'hostess', 'polarity': 'negative'}]"
147,147,"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!","[{'term': 'food', 'polarity': 'positive'}, {'term': 'wait building', 'polarity': 'negative'}]"
148,148,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.","[{'term': 'corridor', 'polarity': 'negative'}, {'term': 'space', 'polarity': 'negative'}, {'term': 'counters', 'polarity': 'negative'}, {'term': 'counter', 'polarity': 'negative'}, {'term': 'entrees', 'polarity': 'neutral'}]"
149,149,The food is great.,"[{'term': 'food', 'polarity': 'positive'}]"
150,150,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,"[{'term': 'steaks', 'polarity': 'positive'}, {'term': 'salads', 'polarity': 'positive'}, {'term': 'sides', 'polarity': 'positive'}]"
151,151,"Lunch came with pickels and slaw, no extra charge.","[{'term': 'Lunch', 'polarity': 'positive'}, {'term': 'pickels and slaw', 'polarity': 'neutral'}]"
152,152,Decent wine at reasonable prices.,"[{'term': 'wine', 'polarity': 'positive'}, {'term': 'prices', 'polarity': 'positive'}]"
153,153,All conveniently delivered right to the door.,"[{'term': 'delivered', 'polarity': 'positive'}]"
154,154,even the wine by the glass was good.,"[{'term': 'wine by the glass', 'polarity': 'positive'}]"
155,155,would have rather tried terrace in the sky or water club for that price,"[{'term': 'price', 'polarity': 'negative'}]"
156,156,This dish is my favorite and I always get it when I go there and never get tired of it.,"[{'term': 'dish', 'polarity': 'positive'}]"
157,157,"I also ordered the Change Mojito, which was out of this world.","[{'term': 'Change Mojito', 'polarity': 'positive'}]"
158,158,Okay service.,"[{'term': 'service', 'polarity': 'neutral'}]"
159,159,The only thing more wonderful than the food (which is exceptional) is the service.,"[{'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
160,160,"The food was just awful, ATROCIOUS actually.","[{'term': 'food', 'polarity': 'negative'}]"
161,161,The soup for the udon was soy sauce and water.,"[{'term': 'soup for the udon', 'polarity': 'negative'}, {'term': 'soy sauce', 'polarity': 'neutral'}, {'term': 'water', 'polarity': 'neutral'}]"
162,162,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.","[{'term': 'anti-pasta', 'polarity': 'positive'}, {'term': 'calamari', 'polarity': 'positive'}, {'term': 'filling pasta mains', 'polarity': 'positive'}]"
163,163,The waitress suggested glasses of wine that went very well with the food.,"[{'term': 'waitress', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'neutral'}, {'term': 'glasses of wine', 'polarity': 'positive'}]"
164,164,"They might be all business at the counter when you give your order, but their food says I love you.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'counter', 'polarity': 'negative'}]"
165,165,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.","[{'term': 'sushi', 'polarity': 'positive'}, {'term': 'ceviche mix (special)', 'polarity': 'positive'}, {'term': 'crab dumplings', 'polarity': 'positive'}, {'term': 'assorted sashimi', 'polarity': 'positive'}, {'term': 'sushi', 'polarity': 'positive'}, {'term': 'rolls', 'polarity': 'positive'}, {'term': 'sake', 'polarity': 'positive'}, {'term': 'banana tempura', 'polarity': 'positive'}]"
166,166,Try their plain pizza with fresh garlic or eggplant.,"[{'term': 'plain pizza', 'polarity': 'positive'}, {'term': 'garlic', 'polarity': 'positive'}, {'term': 'eggplant', 'polarity': 'positive'}]"
167,167,"Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.","[{'term': 'servers', 'polarity': 'negative'}, {'term': 'servers', 'polarity': 'conflict'}]"
168,168,Good luck getting a table.,"[{'term': 'getting a table', 'polarity': 'negative'}]"
169,169,The service is awful.,"[{'term': 'service', 'polarity': 'negative'}]"
170,170,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!","[{'term': 'takeout menu', 'polarity': 'positive'}, {'term': 'menu', 'polarity': 'positive'}, {'term': 'italian dishes', 'polarity': 'positive'}]"
171,171,"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.","[{'term': 'Thai food', 'polarity': 'neutral'}]"
172,172,Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes.,"[{'term': 'hostess', 'polarity': 'positive'}]"
173,173,The pizza is good though.,"[{'term': 'pizza', 'polarity': 'positive'}]"
174,174,bottles of wine are cheap and good.,"[{'term': 'bottles of wine', 'polarity': 'positive'}]"
