,Sentence
139,It is really thick around the battery.
140,And windows 7 works like a charm.
141,And I can attach my projector to it.
142,":) Great product, great price, great delivery, and great service."
143,:] It arrived so fast and customer service was great.
144,tried windows 8 and hated it !!!
145,"The price is higher than most lab top out there; however, he/she will get what they paid for, which is a great computer."
146,"So, I thought why not give Mac Book pro a try."
147,Set up was a breeze.
148,But I do NOT like Win8.
149,I have owned at least 4 to 5 laptops and computers - but this is by far the most superior machine I have ever owned.
150,I am still in the process of learning about its features.
151,"BTW, I checked online regarding the old laptop that 'died' and found that I was not alone, far from it."
152,"I had the same reasons as most PC users: the price, the overbearing restrictions of OSX and lack of support for games."
153,"I wanted it for it's mobility and man, this little bad boy is very nice."
154,Seems to me that's the best way to get Apple's attention.
155,Very nice so far.
156,You won't be disappointed.
157,"The investment of a new MacBook Pro came at a price, but totally worth it for a good piece of mind."
158,I found the mini to be:Exceptionally easy to set up
159,Having USB3 is why I bought this Mini.
160,Be sure to have good air flow where ever you put it.
161,The sound is nice and loud; I don't have any problems with hearing anything.
162,"It is very slim, the track pad is very much impressed with me."
163,This was the same problem with my MacBook (circa 2007) that I just retired.
164,"Great things come in small ""packages."
165,HUGE Apple MAC Fan!
166,"Looked at HP, ASUS, Acer, Sony and a bunch of other ones but could not find I really liked."
167,The settings are not user-friendly either.
168,"Honestly, I am surprised no one else has mentioned returning theirs."
169,"Most of them were either too big, too noisy and too slow after 2 years."
170,"The machine is used, but is like new, i'm very impress."
171,Thank goodness for OpenOffice!
172,"Awesome form factor, great battery life, wonderful UX."
173,"Needless to say, the leap from that to this has been amazing and (aside from the financial reasons) I am astounded that I hadn't made the switch sooner."
174,"Its perfect, not much heavy."
175,i love the keyboard and the screen.
176,I find it not to be very user friendly.
177,It has surpassed all expectations and fulfilled all my needs.
178,"However, there are MAJOR issues with the touchpad which render the device nearly useless."
179,What angers me more than anything else is that I spent all those years hating MACs when I could have been getting a lot more production with a whole lot less grief!
180,I've already upgraded o Mavericks and I am impressed with everything about this computer.
181,So this is very good commputer and i highly suggest it.
182,the mbp i recieved was everything it should have been.
183,I was going to buy today and noticed it went back up to $344.99?
184,Not as fast as I would have expect for an i5.
185,SO of course this one came through with the awesomeness!
186,You will not regret buying this computer!
187,Nothing bad to say about it.
188,It s heavy for Mac book but is good.
189,thanks for great service and shipping!
190,Deal of the year.
191,My sisters same laptop broke about the month later for the same reason.
192,Minis make sense for a lot of people.
193,"The performance seems quite good, and built-in applications like iPhoto work great with my phone and camera."
194,This Mac Mini makes the Macbook Pro seem slow.
195,I did swap out the hard drive for a Samsung 830 SSD which I highly recommend.
196,"I bought this MacBook Pro to replace my six-year-old PC (a Sony Vaio), but it was basically no better than my old PC, so I returned it."
197,"I wanted a simple, reliable  laptop."
198,Cheaper than buying it @ apple too!
199,I have just had to learn to be a little harder typer than on my last computer.
200,Extremely disappointed with the way it is.
201,Never been happier using  computer.
202,I have had a total of 5 different laptop from many different manufactures.
203,Does everything I wanted this laptop to do.
204,"Besides, the apple stocks have been falling due to lack of sales."
205,Turns out this is a common problem.
206,Starts up in a hurry and everything is ready to go.
207,It is also fast as can be... you get what you pay for... well worth the investment
208,But I'm still learning so can't rate it yet for everything.
209,"Overall very impressed, Thank you Apple and Amazon!"
210,"Yes, that's a good thing, but it's made from aluminum that scratches easily."
211,Very fast for my needs.
212,I bought this Mac in order to replace my old Dell laptop.
213,Quick and has built in virus control.
214,Took a long time trying to decide between one with retina display and one without.
215,I saw the Mini Mac at Best Buy and decided to get this as my replacement.
216,I finally decided on this one and couldn't be any happier.
217,I was also informed that the components of the Mac Book were dirty.
218,So glad I did not waste money on a less than par product.
219,Haven't regretted it one bit.
220,The one thing that Apple does right is computers.
221,"the hardware problems have been so bad, i can't wait till it completely dies in 3 years, TOPS!"
222,It's so nice that the battery last so long and that this machine has the snow lion!
223,I think that they are the best out on the market.
224,HOWEVER I chose two day shipping and it took over a week to arrive.
225,"That's quite a bump up from the $599 that this little guy sells for, which leaves me to my next point."
226,this is quite smooth as well as heavy and can easily slip through the hands.
227,My laptop is so light that I can take it with me anywhere.
228,"it's exactly what i wanted, and it has all the new features and whatnot."
229,You can do absolutely anything and is very fast and stylish.
230,"Finally decided to try a MAC because there were too many choices of which PC's to buy and EVERYONE who had a MAC said ""buy a MAC""."
231,Can you buy any laptop that matches the quality of a MacBook?
232,"It feels cheap, the keyboard is not very sensitive."
233,That defeated the whole point of a laptop.
234,"Though please note that sometimes it crashes, and the sound quality isnt superb."
235,It is very easy to navigate even for a novice.
236,"But until now, no complains at all."
237,The cons are more annoyances that can be lived with.
238,"Does everything I need it to, has a wonderful battery life and I couldn't be happier."
239,Great Performance and Quality.
240,Just What I Needed For Portable And My Wallet Too!
241,The device speaks about it self.
242,"I used windows XP, windows Vista, and Windows 7 extensively."
243,the only thing that bums me out about this purchase is they released a newer updated mbp seriously RIGHT after i bought this one.
244,it does get hot when using on a bed or sofa and gets warm on a desk....this is in an un-air conditioned room.....in air condition it gets slightly warm......
245,I did add a SSD drive and memory
246,I got this one for thanks giving Offer for $962 :).
247,I had my PC laptop for 3 years and going to a MacBook Pro is like I leaped through time.
248,On start up it asks endless questions just so itune can sell you more of their products.
249,Pretty much made sense to get a Mini.
250,I Have been a Pc user for a very long time now but I will get used to this new OS.
251,not something you want to miss out on!!!
252,"One more thing, this mac does NOT come with restore disks and I am not sure if you can make them direct from the mac like you can with newer PC's, also the charging cables are made of the same cheap material as the iPhone/iPod touch cables."
253,I bought it to my son who uses it for graphic design.
254,I previously owned an older Dell laptop that died after about 5 or 6 years.
255,Its a pretty decent computer.
256,I never tried any external mics with that iMac.
257,The new os is great on my macbook pro!
258,"It was fast, and it was ""different""."
259,I had a little problem adjusting to the small screen but works fine as long as I remember to carry my glasses.
260,I purchased my first Mac and am glad I did.
261,"I have experienced no problems, works as anticipated."
262,System is running great.
263,Easy to customize setting and even create your own bookmarks.
264,They really screwed the pooch on this one.
265,"The MAC Mini, wireless keyboard / mouse and a HDMI cable is all I need to get some real work done."
266,I finally pulled the trigger and I am blown away by how much more I enjoy my computer tasks using the Mac Mini!!!
267,"it has all the features that we expected and the price was good, working well so far."
268,"I work as a designer and coder and I needed a new buddy to work with, not gaming."
269,I was told that it seems to be a multi - component failure.
270,The new operating system makes this computer into a super iPad.
271,I am very happy with my first Mac.
272,Easy to set up and go!
273,I can't believe how quiet the hard drive is and how quick this thing boots up.
274,The only issue came when I tried scanning to the mac.
275,The machine is speedy and efficient.
276,I think this is about as good as it gets at anything close to this price point.
277,"A *big* upgrade from my 13"" 2006 macbook."
278,It's just what we were looking for and it works great.
279,Having a Mac certainly makes life easier.
280,It's so quick and responsive that it makes working/surfing on a computer so much more pleasurable!
281,The old unibody macbook pro could fry an egg after a while.
282,"It works fine, and all the software seems to run pretty well."
283,"For this purpose, it's great."
284,Couldn't have asked for more!
285,"I'm using this computer for word processing, web browsing, some gaming, and I'm learning programming."
286,"It certainly does, but you rarely hear any of your friends with Mac's complain about anything."
287,"My wife was so excited to open the box, but quickly came to see that it did not function as it should."
288,I don't have any technical pearls to share.
289,"I wanted a computer that was quite, fast, and that had overall great performance."
290,"Apple ""Help"" is a mixed bag."
291,All I can say is I am impressed.
292,It suddenly can not work.
293,It did everything we expected!
294,"Harddrive was in poor condition, had to replace it."
295,The on/off switch is a bit obscure in the rear corner.
296,It's a nice little gadget.
297,My only complaint is the total lack of instructions that come with the mac mini.
298,"The only task that this computer would not be good enough for would be gaming, otherwise the integrated Intel 4000 graphics work well for other tasks."
299,It's macbook pro and there is no discusion about it.
300,I'm hoping the rest of the features will be the signature quality of apple.
301,"I use it mostly for content creation (Audio, video, photo editing) and its reliable."
302,It is the best all around Mac.
303,Screen is bright and gorgeous.
304,Also is portable and reliable.
305,"The only solution is to turn the brightness down, etc."
306,It is not an easy decision to purchase a used or even good as new laptop but I am very satisfied.
307,If you want more information on macs I suggest going to apple.com and heading towards the macbook page for more information on the applications.
308,"It is robust, with a friendly use as all Apple products."
309,"Even if you don't do business, thats okay, it's incredibly fast."
310,It is fast and easy to use.
311,This was absolutely annoying!
312,And the fact that it comes with an i5 processor definitely speeds things up
313,But for those of you that dont have a mac and are still on the PC's this is a good foot in the door into mac.
314,I have been PC for years but this computer is intuitive and its built in features are a great help
315,and it fits in my briefcase with ease
316,"Nice screen, keyboard works great!"
317,Still not bad for 220.00.
318,I was amazed at how fast the delivery was.
319,Good computer and fast.
320,I've installed to it additional SSD and 16Gb RAM.
321,The memory was gone and it was not able to be used.
322,Its pretty much fire it up and go.
323,It works great and I am so happy I bought it.
324,Let me start off by saying that I was highly reluctant to spend so much money on a laptop.
325,"I like the design and ease of use with the keyboard, plenty of ports."
326,"Apple is living up to its name with the mini and, for our needs, it's perfect."
327,it definitely beats my old mac and the service was great.
328,I went from a Macbook to this Mac Mini and this was a great upgrade!
329,Web browsing is very quick with Safari browser.
330,It couldn't have been a better decision.
331,I like the lighted screen at night.
332,It's great to have a solid Mac in the living room.
333,It is really easy to use and it is quick to start up.
334,I've lived with the crashes and slow operation and restarts.
335,Very light and easily maneuverable.
336,USB3 Peripherals are noticably less expensive than the ThunderBolt ones.
337,This can be annoying at first but you just have to train yourself not to to start over so far.
338,And mine had broke but I sent it in under warranty-no problems.
339,I am not happy with my purchase
340,"It's fast, light, and is perfect for media editing, which is mostly why I bought it in the first place."
341,"However, the machine itself left a bit to be desired."
342,"The battery lasts as advertised (give or take 15-20 minutes), and the entire user experience is very elegant."
343,I spent months looking for a good laptop for me and I finally found it!
344,$999.00 Tax free.
345,Thanks for the fast shipment and great price.
346,"!Excelent performance, usability, presentation and time response."
347,The smaller size was a bonus because of space restrictions.
348,I blame the Mac OS.
349,"But for now, this laptop is still a workhorse."
350,"In fact I still use manyLegacy programs (Appleworks, FileMaker Pro, Quicken, Photoshop etc)!"
351,"It's small but powerful, light but strong, elegant and beautiful... In resume: it's a Mac!"
352,I like the operating system.
353,I wish I would have taken the plunge years ago.
354,I love the form factor.
355,I haven't used the product long enough to write a detailed technical review.
356,It's fast at loading the internet.
357,So much faster and sleeker looking.
358,I plan on using my MacBook Pro for a long time.
359,"Unfortunately, it runs XP and Microsoft is dropping support next April."
360,"Its seen in movies, sitcoms, prominent important people carry and use them and they are GREAT!"
361,"First off, I really do like my MBP... once used to the OS it is pretty easy to get around, and the overall build is great... eg the keyboard is one of the best to type on."
362,Does exactly what I bought it 4.
363,Buy the Mac Mini it's a terribly great machine.
364,It is made of such solid construction and since I have never had a Mac using my iPhone helped me get used to the system a bit.
365,"I love this piece of equipment, It will be hard to go back to other type of laptop after using a MacBook Pro."
366,Very nice unibody construction.
367,Very disappointed with Apple.
368,"This Macbook Pro is fast, powerful, and runs super quiet and cool."
369,"***The review below is no longer relevant, Apple has fixed the issue."
370,It's ok but doesn't have a disk drive which I didn't know until after I bought it.
371,"There is no HDMI receptacle, nor is there an SD card slot located anywhere on the device."
372,It really is very light compared to other computers.
373,It came in brand new and works perfectly.
374,This machine is A-mazing.
375,"It shouldn't happen like that, I don't have any design app open or anything."
376,MY TRACKPAD IS NOT WORKING.
377,I just hope this expensive laptop doesn't go dead like my friends...it did last him 5 good years before it bit the dust.
378,Considering another computer should be out of the question
379,"It looks and feels solid, with a flawless finish."
380,Its worth every Penny.
381,Price was higher when purchased on MAC when compared to price showing on PC when I bought this product.
382,This was a great deal for a decked out MacBook Pro.
383,Then the system would many times not power down without a forced power-off.
384,"Get this instead, you won't be sorry."
385,The configuration is perfect for my needs.
386,and the speakers is the worst ever.
387,I think it was around 16 hundred bucks last I checked.
388,"Its the best, its got the looks, super easy to use and love all you can do with the trackpad!.."
389,"It's fast, quiet, incredibly small and affordable compared to other Mac models."
390,Web surfuring is smooth and seamless.
391,It was so exciting for me to unwrapp my new mac.
392,I'm overall pleased with the interface and the portability of this product.
393,so when I had the money to buy one I bought other things instead....a 700 laptop and some extra stuff with it.
394,"This item is a beautiful piece, it works well, it is easy to carry and handle."
395,See retired recently and decided that she wanted a laptop.
396,"It was also suffering from hardware (keyboard) issues, relatively slow performance and shortening battery lifetime."
397,I'm no regular customer I hate wasting my time with hellos and how can I help you's.
398,"Runs good and does the job, can't complain about that!"
399,It's silent and has a very small footprint on my desk.
400,I have nothing to regret from this new product.
401,The exterior is absolutely gorgeous.
402,Have one myself and Love it!
403,"It has a very high performance, just for what I needed for."
404,This is especially disheartening when Apple prides itself as the choice of creative professionals.
405,Apple is aware of this issue and this is either old stock or a defective design involving the intel 4000 graphics chipset.
406,"Stop living in the stone age and buy a mac, you will not be sorry at all!!"
407,OSX Mountain Lion  soon to upgrade to Mavericks.
408,Apple hit a home run here.
409,"I just bought the new MacBook Pro, the 13"" model, and I can't believe Apple keeps making the same mistake with regard to USB ports."
410,So glad I have gone this route!!
411,It wakes in less than a second when I open the lid.
412,It is the perfect size and speed for me.
413,I am so addict to this laptop.
414,THE CUSTOMER SERVICE IS TERRIFIC!!
415,Trashed it when I spilled a latte on it while writing at a cafe.
416,"My last laptop was a 17"" ASUS gaming machine, which performed admirably, but having since built my own desktop and really settling into the college life, I found myself wanting something smaller and less cumbersome, not to mention that the ASUS had been slowly developing problems ever since I bought it about 4 years ago."
417,"However, it did not have any scratches, ZERO battery cycle count (pretty surprised), and all the hardware seemed to be working perfectly."
418,After fumbling around with the OS I started searching the internet for a fix and found a number of forums on fixing the issue.
419,I couldn't be more pleased.
420,And as for all the fancy finger swipes -- I just gave up and attached a mouse.
421,"I needed a laptop with big storage, a nice screen and fast so I can photoshop without any problem."
422,I like coming back to Mac OS but this laptop is lacking in speaker quality compared to my $400  old HP laptop.
423,It is much better than the Acer ultrabook I had before.
424,Shipped very quickly and safely.
425,I finally own a piece of computing equipment that I don't want to take a baseball bat and destroy.
426,The thunderbolt port is awesome!
427,"User friendly, fast and high tech  It is amazing!"
428,The performance is definitely superior to any computer I've ever put my hands on.
429,It's great for streaming video and other entertainment uses.
430,Apple did a great job.
431,I like the design and its features but there are somethings I think needs to be improved.
432,There were small problems with Mac office.
433,It is extremely fast and very compact.
434,I understand I should call Apple Tech Support about any variables(which is my purpose of writing this con) as variables could be a bigger future problem.
435,"I ordered my 2012 mac mini after being disappointed with spec of the new 27"" Imacs."
436,"It still works and it's extremely user friendly, so I would recommend it for new computer user and also for those who are just looking for a more efficient way to do things"
437,"Its fast, easy to use and it looks great."
438,(but Office can be purchased) IF I ever need a laptop again I am for sure purchasing another Toshiba!!
439,I haven't tried the one with retina display... Maybe in the future.
440,You can read all about the details of this marvelous computer on wikipedia.
441,"Performance is much much better on the Pro, especially if you install an SSD on it."
442,"Note, however, that any existing MagSafe accessories you have will not work with the MagSafe 2 connection."
443,"If you get a lemon (I have two thirds of my  Macs), you have to send it in for repairs several times before they will replace it, even if they have numerous problems with the same version of their computers."
444,"The only thing I dislike is the touchpad, alot of the times its unresponsive and does things I dont want it too, I would recommend using a mouse with it."
445,"Yeah, it's super expensive."
446,"The Mac mini is about 8x smaller than my old computer which is a huge bonus and runs very quiet, actually the fans aren't audible unlike my old pc"
447,MAYBE The Mac OS improvement were not The product they Want to offer.
448,It came before the day it supposed to which is great.
449,I thought the transition would be difficult at best and would take some time to fully familiarize myself with the new Mac ecosystem.
450,It's absolutely wonderful and worth the price!
451,"It's a good fix, in my opinion."
452,I am please with the products ease of use; out of the box ready; appearance and functionality.
453,Buying a Mac Mini would allow me to make the transition.
454,"Before I begin, I will say that I am not like a good percentage of the people that will end up writing a review on this computer - I am not an Apple fanboy."
455,its by far faster and more stable then my PC.
456,I purchased a MacBook Pro and this to replace a couple of HP units that I was using.
457,"you will not regret it, promise you!"
458,"Moving from a PC to Mac has never been easier, and I'm glad that I did it."
459,Perfect for all my graphic design classes I'm taking this year in college :-)
460,Have used only Macs for years.
461,"Being a tech savvy, APPLE - product loving person, I'm glad I finally got the MacBook Pro!"
462,I was always against them but now I buying one I'll never go back to PC.
463,I will not be using that slot again.
464,I think that was a great decision to buy
465,"The OS is fast and fluid, everything is organized and it's just beautiful."
466,"It will make life so much easier next semester, just wish I had it last semester!!"
467,"I paid for a new laptop, but was sent a used one."
468,Searched it on amazon and on bestbuy.
469,I bought this one for my 11 year old and the MacBook Air for my 9 year old.
470,I bought it for college and so far it's amazing!
471,They are simpler to use.
472,It was at my door in less than 24 hours.
473,It's also very pricey but you just have to tell yourself it's an investment and that it's gonna last you a long time.
474,It was getting old and I needed a new school computer.
475,!so nice .. stable .. fast .. now i got my SSD !
476,I love apple but unlike others That does not prevent me to not be honest about how i like it and if its good or not.
477,"So, I'm cooled on Mac buys."
478,It is a great computer for that and I have to say I'm happy I switched.
479,"Also, in using the built-in camera, my voice recording for my vlog sounds like the interplanetary transmissions in the ""Star Wars"" saga."
480,Overall a nice computer.
481,"You can imagine that an expensive item as a laptop will not be left on your front steps, it needs signature to pove that you received it."
482,I love the quick start up.
483,"Yes, he is a self professed ""Mac snob."
484,You just cannot beat the functionality of an Apple device.
485,Yet my mac continues to function properly.
486,Graphics are much improved.
487,"Here are the things that made me confident with my purchase:Build Quality - Seriously, you can't beat a unibody construction."
488,It's the mid 2012 version.
489,It provides much more flexibility for connectivity.
490,"I want the portability of a tablet, without the limitations of a tablet and that's where this laptop comes into play."
491,"I have had many, many issues with PC's in the past and I'm finally glad to have joined the Mac revolution!"
492,Mac tutorials do help.
493,When it broke I wanted another Acer and chose the V5.
494,The technical support was not helpful as well.
495,I got the new adapter and there was no change.
496,so i called technical support.
497,"Nothing about it that i don't love, apple always makes a great product."
498,"I saved about $100 plus tax ordering on Amazon and since I have prime, it arrived overnight for just $3.99 more."
499,Came with iPhoto and garage band already loaded.
500,It's all a bit magical.
501,"Logic board utterly fried, cried, and laid down and died."
502,It is BLAZING fast!
503,The sound was crappy even when you turn up the volume still the same results.
504,ive never had a problem with it!
505,"I currently own a Lenovo laptop as well as my new MacBook Pro, and each have their own strengths and weaknesses."
506,OSX Lion is a great performer..extremely fast and reliable.
507,Best commuter I have ever owned.
508,"What can I say, It's an Apple."
509,"Having heard from friends and family about how reliable a Mac product is, I never expected to have an application crash within the first month, but I did."
510,The Macbook pro's physical form is wonderful.
511,"I have an iPhone, and iPad, so it just made sense to finish off the platform by adding the Mini."
512,Not super light but still a good one.
513,The Mini's body hasn't changed since late 2010- and for a good reason.
514,The unibody construction really does feel lot more solid than Apple's previous laptops.
515,i had to return it for a replacement.
516,It was wonderful deal for the wonderful product.
517,It completely supports my home business and personal life.
518,3D rendering slows it down considerably.
519,Got this Mac Mini with OS X Mountain Lion for my wife.
520,I am pleased to report that it is one of the best presents I have received to date.
521,"Every day I had this computer, something failed on it."
522,"fast, great screen, beautiful apps for a laptop;priced at 1100 on the apple website;amazon had it for 1098+ tax -  plus i had a 10% off coupon from amazon-cost me 998 plus tax- 1070- OTD!"
523,12.44 seconds to boot.
524,All the ports are much needed since this is my main computer.
525,"The Like New condition of the iMac MC309LL/A on Amazon is at $900+ level only, and it is a Quad-Core 2.5 GHz CPU (similar to the $799 Mini), with Radeon HD 6750M 512MB graphic card (this mini is integrated Intel 4000 card), and it even comes with wireless Apple Keyboard and Mouse, all put together in neat and nice package."
526,Put a cover on it and is a little better but that is my only complaint.
527,Within a few hours I was using the gestures unconsciously.
528,This mac does come with an extender cable and I'm using mine right now hoping the cable will stay nice for the many years I plan on using this mac.
529,This is the third in a series of MacBooks starting with a Black MacBook.
530,The 2.9ghz dual-core i7 chip really out does itself.
531,My life has been enriched since I have been using Apple products.
532,i FINALLY DID IT AND THIS MACHINE IS THE WAY TO GO!
533,It is pretty snappy and starts up in about 30 seconds which is good enough for me.
534,The few things that are wrong with it are very minor things.
535,"So noise is reduced at least 50% and the heat is much better, now it doesn't feel hot but warm."
536,Not sure on Windows 8.
537,It's a lottery at this point as I have read that other have received new ones with the same problem.
538,My one complaint is that there was no internal CD drive.
539,This newer netbook has no hard drive or network lights.
540,This is the first time for me to use a Mac and I'm really happy with the move.
541,No complaints for an Apple product.
542,The new MacBook is lightyears ahead of my old white plastic MacBook circa 2006.
543,I would say that 85% of the design industry is Mac for good reason.
544,"I was having a though time deciding between the 13"" MacBook Air or the MacBook Pro 13"" (Both baseline models, priced at 1,200 $ retail)"
545,The last new mac I bought was in 1998.
546,"There are reviews that speak to a few possible glitches but, I haven't seen them yet."
547,Not too expense and has enough storage for most users and many ports.
548,I am very satisfied with the mini.
549,The audio volume is quite low and virtually unusable in a room with any background activity.
550,"I am going to college next year and I needed a cheaper, quality computer for the goals I am trying to pursue."
551,In the short time of one month since the 2012 Mac Mini was released there are well over 1000 posts regarding this issue and the numbers keep rising.
552,It is lightweight and the perfect size to carry to class.
553,If you have to ask you don't own a Mac and your just not in the know.
554,All my devises “talk” to each other.
555,Why not 5 stars?
556,Very Very Highly Recommended.
557,?I am only interested in the 15.4  McBook Pro  Model # MD103LL/A
558,I don't know why I didn't make the switch sooner...o ya because it's expensive.
